,precision,recall,f1-score,support
CCC-D,1.0,0.8235294117647058,0.9032258064516129,17.0
B,0.7741935483870968,0.8,0.7868852459016393,30.0
BB,0.8125,0.8297872340425532,0.8210526315789474,47.0
BBB,0.8602150537634409,0.8791208791208791,0.8695652173913043,91.0
A,0.8679245283018868,0.8679245283018868,0.8679245283018868,53.0
AAA/AA,1.0,0.6666666666666666,0.8,3.0
accuracy,0.8506224066390041,0.8506224066390041,0.8506224066390041,0.8506224066390041
macro avg,0.8858055217420708,0.8111714533161153,0.8414422382708984,241.0
weighted avg,0.8534974122161245,0.8506224066390041,0.8509597699317253,241.0
